episode,steps,return
1,200,-857.0
2,200,-740.0
3,200,-776.0
4,200,-677.0
5,200,-812.0
6,200,-749.0
7,200,-821.0
8,200,-812.0
9,200,-758.0
10,200,-695.0
11,200,-713.0
12,200,-776.0
13,200,-713.0
14,200,-776.0
15,200,-749.0
16,200,-776.0
17,200,-758.0
18,200,-884.0
19,200,-848.0
20,200,-686.0
21,200,-731.0
22,200,-695.0
23,200,-875.0
24,200,-749.0
25,200,-740.0
26,200,-758.0
27,200,-776.0
28,200,-668.0
29,200,-740.0
30,200,-794.0
31,200,-866.0
32,200,-776.0
33,200,-722.0
34,200,-758.0
35,200,-857.0
36,200,-758.0
37,200,-731.0
38,200,-821.0
39,200,-677.0
40,200,-803.0
41,200,-668.0
42,200,-758.0
43,200,-731.0
44,200,-830.0
45,200,-731.0
46,200,-839.0
47,200,-623.0
48,200,-650.0
49,200,-722.0
50,200,-740.0
51,200,-749.0
52,200,-839.0
53,200,-713.0
54,200,-650.0
55,101,-296.0
56,200,-821.0
57,200,-713.0
58,200,-794.0
59,200,-722.0
60,118,-403.0
61,200,-731.0
62,62,-239.0
63,200,-632.0
64,200,-758.0
65,200,-740.0
66,200,-803.0
67,200,-740.0
68,200,-641.0
69,200,-740.0
70,200,-794.0
71,200,-749.0
72,200,-659.0
73,200,-677.0
74,200,-830.0
75,200,-695.0
76,200,-785.0
77,200,-812.0
78,200,-686.0
79,200,-776.0
80,200,-758.0
81,85,-298.0
82,200,-722.0
83,200,-641.0
84,200,-731.0
85,200,-722.0
86,200,-641.0
87,200,-686.0
88,200,-632.0
89,200,-569.0
90,180,-636.0
91,124,-418.0
92,200,-722.0
93,200,-704.0
94,200,-848.0
95,200,-686.0
96,200,-758.0
97,115,-427.0
98,200,-650.0
99,200,-812.0
100,66,-234.0
101,200,-668.0
102,200,-641.0
103,200,-875.0
104,101,-287.0
105,88,-274.0
106,200,-749.0
107,200,-749.0
108,200,-740.0
109,200,-650.0
110,200,-749.0
111,130,-469.0
112,200,-740.0
113,200,-713.0
114,200,-677.0
115,200,-605.0
116,200,-686.0
117,200,-794.0
118,200,-641.0
119,200,-677.0
120,35,-86.0
121,96,-282.0
122,200,-623.0
123,200,-704.0
124,200,-605.0
125,81,-240.0
126,200,-695.0
127,47,-143.0
128,200,-668.0
129,200,-677.0
130,200,-731.0
131,200,-614.0
132,156,-513.0
133,200,-740.0
134,200,-677.0
135,157,-523.0
136,89,-275.0
137,123,-390.0
138,77,-218.0
139,101,-278.0
140,95,-290.0
141,200,-722.0
142,200,-605.0
143,119,-377.0
144,62,-176.0
145,112,-397.0
146,79,-220.0
147,102,-261.0
148,200,-677.0
149,172,-601.0
150,24,-39.0
151,118,-349.0
152,200,-695.0
153,168,-543.0
154,33,-84.0
155,103,-325.0
156,188,-572.0
157,200,-614.0
158,131,-335.0
159,33,-84.0
160,137,-350.0
161,130,-505.0
162,111,-351.0
163,160,-562.0
164,200,-794.0
165,93,-270.0
166,118,-277.0
167,200,-686.0
168,69,-129.0
169,110,-359.0
170,200,-650.0
171,27,-51.0
172,143,-392.0
173,66,-162.0
174,40,-136.0
175,200,-614.0
176,71,-176.0
177,200,-614.0
178,115,-319.0
179,74,-206.0
180,68,-182.0
181,75,-171.0
182,54,-132.0
183,55,-142.0
184,123,-354.0
185,70,-166.0
186,73,-241.0
187,146,-395.0
188,74,-179.0
189,90,-330.0
190,80,-176.0
191,110,-368.0
192,64,-178.0
193,23,-20.0
194,112,-370.0
195,62,-131.0
196,58,-118.0
197,64,-169.0
198,68,-200.0
199,91,-322.0
200,62,-104.0
201,53,-122.0
202,43,-103.0
203,50,-155.0
204,96,-327.0
205,70,-193.0
206,83,-242.0
207,55,-160.0
208,59,-155.0
209,104,-299.0
210,41,-74.0
211,47,-152.0
212,100,-277.0
213,51,-138.0
214,111,-315.0
215,51,-111.0
216,28,-88.0
217,86,-218.0
218,87,-282.0
219,37,-52.0
220,87,-291.0
221,27,-60.0
222,46,-115.0
223,72,-231.0
224,48,-108.0
225,180,-555.0
226,26,-68.0
227,64,-178.0
228,73,-250.0
229,56,-134.0
230,46,-124.0
231,100,-277.0
232,46,-79.0
233,51,-156.0
234,32,-101.0
235,23,-56.0
236,58,-136.0
237,82,-223.0
238,23,-38.0
239,44,-149.0
240,75,-207.0
241,33,-111.0
242,33,-48.0
243,67,-190.0
244,30,-54.0
245,41,-110.0
246,46,-79.0
247,100,-286.0
248,17,-14.0
249,27,-42.0
250,59,-191.0
251,46,-79.0
252,19,-7.0
253,41,-119.0
254,70,-166.0
255,73,-232.0
256,66,-180.0
257,39,-90.0
258,15,-12.0
259,49,-109.0
260,41,-128.0
261,28,-61.0
262,52,-166.0
263,40,-55.0
264,58,-136.0
265,57,-162.0
266,29,-44.0
267,62,-158.0
268,36,-69.0
269,79,-157.0
270,62,-194.0
271,19,-16.0
272,57,-198.0
273,88,-220.0
274,49,-109.0
275,29,-44.0
276,69,-183.0
277,47,-89.0
278,31,-28.0
279,77,-263.0
280,33,-39.0
281,54,-150.0
282,45,-114.0
283,79,-274.0
284,35,-95.0
285,57,-180.0
286,41,-83.0
287,37,-52.0
288,22,-46.0
289,52,-103.0
290,27,-42.0
291,45,-96.0
292,38,-89.0
293,61,-130.0
294,59,-146.0
295,51,-111.0
296,82,-187.0
297,55,-124.0
298,39,-72.0
299,25,-49.0
300,72,-204.0
301,76,-163.0
302,45,-69.0
303,48,-99.0
304,60,-156.0
305,33,-39.0
306,58,-118.0
307,67,-127.0
308,50,-128.0
309,40,-82.0
310,20,-35.0
311,49,-127.0
312,41,-83.0
313,30,-63.0
314,46,-115.0
315,28,-34.0
316,57,-171.0
317,40,-109.0
318,21,-36.0
319,106,-247.0
320,18,-15.0
321,74,-233.0
322,72,-177.0
323,57,-126.0
324,54,-132.0
325,23,-47.0
326,45,-114.0
327,35,-68.0
328,21,-45.0
329,39,-81.0
330,73,-160.0
331,46,-115.0
332,36,-96.0
333,31,-64.0
334,32,-65.0
335,31,-46.0
336,52,-157.0
337,83,-188.0
338,39,-108.0
339,49,-55.0
340,56,-98.0
341,26,-32.0
342,74,-170.0
343,47,-125.0
344,23,-38.0
345,28,-61.0
346,63,-114.0
347,22,-28.0
348,39,-63.0
349,36,-42.0
350,35,-59.0
351,35,-41.0
352,25,-40.0
353,29,-53.0
354,36,-60.0
355,44,-77.0
356,38,-89.0
357,44,-113.0
358,48,-108.0
359,28,-61.0
360,36,-51.0
361,24,-39.0
362,56,-143.0
363,22,-19.0
364,46,-142.0
365,27,-51.0
366,51,-129.0
367,50,-128.0
368,92,-224.0
369,39,-72.0
370,28,-34.0
371,36,-69.0
372,47,-89.0
373,56,-161.0
374,34,-112.0
375,25,-40.0
376,26,-59.0
377,76,-235.0
378,41,-83.0
379,48,-90.0
380,51,-111.0
381,20,-17.0
382,37,-88.0
383,27,-51.0
384,38,-107.0
385,26,-32.0
386,36,-42.0
387,47,-71.0
388,19,-34.0
389,36,-114.0
390,54,-132.0
391,40,-73.0
392,18,-15.0
393,58,-118.0
394,47,-80.0
395,52,-121.0
396,24,-39.0
397,24,-30.0
398,34,-58.0
399,38,-89.0
400,25,-31.0
401,35,-77.0
402,18,-6.0
403,29,-44.0
404,78,-237.0
405,22,-10.0
406,23,-56.0
407,20,-8.0
408,33,-57.0
409,22,-37.0
410,12,0.0
411,48,-90.0
412,31,-46.0
413,64,-133.0
414,24,-39.0
415,54,-123.0
416,29,-44.0
417,52,-121.0
418,38,-89.0
419,60,-174.0
420,22,-19.0
421,43,-94.0
422,41,-119.0
423,45,-105.0
424,35,-77.0
425,17,-5.0
426,20,-8.0
427,37,-70.0
428,31,-46.0
429,21,-9.0
430,52,-121.0
431,13,8.0
432,24,-30.0
433,30,-63.0
434,36,-69.0
435,17,-14.0
436,28,-43.0
437,28,-43.0
438,35,-77.0
439,52,-67.0
440,32,-47.0
441,43,-76.0
442,36,-78.0
443,38,-80.0
444,49,-91.0
445,23,-38.0
446,28,-61.0
447,63,-123.0
448,66,-153.0
449,52,-76.0
450,22,-37.0
451,36,-51.0
452,45,-96.0
453,30,-45.0
454,25,-31.0
455,24,-12.0
456,31,-46.0
457,55,-70.0
458,45,-87.0
459,20,-8.0
460,40,-91.0
461,22,-10.0
462,22,-46.0
463,22,-28.0
464,59,-101.0
465,34,-58.0
466,22,-19.0
467,21,-18.0
468,27,-51.0
469,35,-113.0
470,27,-33.0
471,30,-36.0
472,26,-50.0
473,29,-44.0
474,16,5.0
475,19,-7.0
476,21,-18.0
477,43,-139.0
478,49,-82.0
479,30,-63.0
480,35,-86.0
481,22,-37.0
482,54,-123.0
483,35,-86.0
484,22,-19.0
485,41,-110.0
486,43,-58.0
487,28,-70.0
488,21,-36.0
489,29,-26.0
490,51,-129.0
491,26,-50.0
492,32,-47.0
493,21,-54.0
494,34,-49.0
495,13,-1.0
496,11,1.0
497,32,-74.0
498,35,-77.0
499,36,-78.0
500,25,-31.0
501,24,-21.0
502,31,-19.0
503,16,-4.0
504,56,-107.0
505,54,-105.0
506,10,2.0
