episode,steps,return
1,200,-560.0
2,200,-614.0
3,200,-569.0
4,200,-506.0
5,200,-578.0
6,200,-551.0
7,200,-560.0
8,200,-362.0
9,200,-434.0
10,200,-443.0
11,200,-470.0
12,200,-299.0
13,200,-398.0
14,200,-587.0
15,200,-587.0
16,74,-197.0
17,200,-353.0
18,200,-344.0
19,200,-380.0
20,200,-461.0
21,200,-542.0
22,200,-389.0
23,200,-344.0
24,200,-470.0
25,200,-344.0
26,200,-443.0
27,200,-350.0
28,200,-335.0
29,200,-335.0
30,200,-299.0
31,200,-614.0
32,200,-290.0
33,200,-272.0
34,200,-308.0
35,200,-317.0
36,200,-326.0
37,200,-578.0
38,200,-380.0
39,200,-335.0
40,200,-578.0
41,200,-308.0
42,200,-434.0
43,112,-226.0
44,200,-326.0
45,200,-434.0
46,200,-335.0
47,73,-124.0
48,200,-344.0
49,200,-344.0
50,200,-335.0
51,200,-290.0
52,200,-416.0
53,200,-371.0
54,200,-407.0
55,139,-361.0
56,200,-362.0
57,200,-326.0
58,200,-317.0
59,200,-308.0
60,200,-308.0
61,200,-317.0
62,135,-276.0
63,200,-326.0
64,200,-326.0
65,200,-326.0
66,200,-317.0
67,200,-272.0
68,200,-326.0
69,200,-344.0
70,50,-83.0
71,200,-317.0
72,200,-326.0
73,200,-362.0
74,200,-353.0
75,200,-326.0
76,79,-148.0
77,200,-353.0
78,200,-317.0
79,200,-308.0
80,193,-316.0
81,51,-66.0
82,200,-407.0
83,200,-398.0
84,200,-290.0
85,121,-172.0
86,200,-335.0
87,200,-425.0
88,200,-290.0
89,200,-308.0
90,200,-380.0
91,200,-335.0
92,200,-353.0
93,200,-335.0
94,200,-371.0
95,200,-308.0
96,200,-344.0
97,200,-362.0
98,200,-290.0
99,200,-353.0
100,200,-281.0
101,164,-233.0
102,200,-344.0
103,200,-335.0
104,200,-344.0
105,119,-161.0
106,116,-158.0
107,200,-371.0
108,200,-344.0
109,200,-317.0
110,200,-290.0
111,200,-407.0
112,200,-299.0
113,200,-353.0
114,111,-144.0
115,113,-173.0
116,200,-290.0
117,200,-434.0
118,200,-389.0
119,200,-425.0
120,200,-398.0
121,200,-398.0
122,200,-335.0
123,200,-299.0
124,200,-308.0
125,200,-317.0
126,200,-344.0
127,200,-308.0
128,200,-344.0
129,200,-326.0
130,200,-308.0
131,200,-326.0
132,200,-308.0
133,200,-326.0
134,200,-290.0
135,200,-317.0
136,200,-317.0
137,200,-290.0
138,194,-308.0
139,200,-299.0
140,200,-344.0
141,200,-335.0
142,82,-106.0
143,200,-362.0
144,200,-353.0
145,200,-344.0
146,200,-317.0
147,200,-317.0
148,200,-362.0
149,200,-299.0
150,200,-290.0
151,125,-176.0
152,102,-153.0
153,200,-272.0
154,200,-290.0
155,200,-299.0
156,200,-299.0
157,200,-335.0
158,200,-317.0
159,200,-425.0
160,94,-127.0
161,200,-326.0
162,200,-371.0
163,200,-317.0
164,200,-371.0
165,200,-272.0
166,200,-335.0
167,22,-1.0
168,200,-290.0
169,190,-331.0
170,200,-398.0
171,200,-308.0
172,200,-344.0
173,200,-362.0
174,200,-317.0
175,182,-314.0
176,200,-308.0
177,132,-165.0
178,200,-326.0
179,200,-326.0
180,200,-317.0
181,200,-299.0
182,200,-380.0
183,200,-380.0
184,200,-344.0
185,200,-281.0
186,185,-281.0
187,200,-371.0
188,200,-362.0
189,163,-196.0
190,200,-344.0
191,200,-317.0
